,,,,,,,,,,,
"Components on Top Side",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"ICs",,,,,,,,,,,
,,,,,,,,,,,
"Component","Names","Value","Quantity","Case","Manufacturer","Detail (Ordering Inf.)","Type (SMD/THT)","alternative Part",,"SMD Pads","THT Pads"
"AD633JR","IC18-19","AD633JR",2,"SOIC-8","Analog Devices","AD633JRZ","SMD",,,16,0
"LM339","IC24","LM339D",1,"SOIC-14","not important","LM339DR","SMD",,,14,0
"74LVC245","IC33","74LVC245",1,"SOIC-20","not important","74LVC245AD","SMD",,,20,0
"74HCT126","IC26","74HCT126",1,"SOIC-14","not important","74HCT126D","SMD",,,14,0
"USB_PowerSwitch","IC30","BD2244G-M",1,"SSOP6","ROHM Semiconductor","BD2244G-MGTR","SMD",,,6,0
"DG442","IC6-9, IC13-15, IC22, IC27-29","DG442",11,"SOIC-16","Vishay Siliconix","DG442DY-E3","SMD","DG212BDY-E3",,176,0
"74HCT14","IC21, IC23","74HCT14",2,"SOIC-14","not important","74HCT14D","SMD",,,28,0
"LM4040x","IC2","LM4040B-5.0V",1,"SOT23-3","Texas Instruments","LM4040BIM3-5.0","SMD",,,3,0
"DC-DC_2W_DUAL","IC1","TBA2-0522",1,"SIP-7","TRACO Power","TBA2-0522","THT",,,0,7
"OP_Quad_SOIC","IC3, IC5, IC10-12, IC16-17, IC20, IC25, IC31","TL074H",10,"SOIC-14","Texas Instruments","TL074HIDR","SMD",,,140,0
,,,,,,,,,,,
"Capacitors",,,,,,,,,,,
,,,,,,,,,,,
"Component","Names","Value","Quantity","Case","Manufacturer","Detail (Ordering Inf.)","Type (SMD/THT)","alternative Part",,"SMD Pads","THT Pads"
"C_SMD","C26, C28, C30, C32, C35","*1nF, PPS, 2%",5,"SMD 0805","Pansonic","ECHU1H102GX5","SMD","--",,10,0
"C_SMD_1210","C27, C29, C31, C33-34, C50-51","*100nF, PPS 2%",7,"SMD 1210","Pansonic","ECHU1C104GX5","SMD","--",,14,0
"C_SMD","C65, C67","1uF",2,"SMD 0805","not important","1uF, 50V, MLCC","SMD",,,4,0
"SMD_Elko_2312","C2-5","47uF",4,"SMD 2312","not important","47uF, 16V, Tantal","SMD",,,8,0
"C_SMD","C1, C6-25, C36-49, C52-64, C66","100nF",49,"SMD 0805","not important","100nF, 50V, MLCC","SMD",,,98,0
,,,,,,,,,,,
"Diodes",,,,,,,,,,,
,,,,,,,,,,,
"Component","Names","Value","Quantity","Case","Manufacturer","Detail (Ordering Inf.)","Type (SMD/THT)","alternative Part",,"SMD Pads","THT Pads"
"BAT54J","D15-17, D20-23","BAT54J",7,"SOD323-2","Nexperia","BAT54J,115","SMD",,,14,0
"BAV199W","D19","BAV199W",1,"SOT23-3 / SC-70","Nexperia","BAV199W,115","SMD",,,3,0
"BAS70-04_SOT23-3","D2-14","BAS70-04",13,"SOT23-3","Nexperia","BAS70-04,215","SMD",,,39,0
"BZX84_SOT23-3","D1, D18","BZX84B5V1",2,"SOT23-3 / SC-70","Vishay Semiconductors","BZX84B5V1-E3-08","SMD",,,6,0
